code,response
68,Exception 68 – Generic planning alert. Review material master and MRP settings.
69,Exception 69 – Generic planning alert. Review material master and MRP settings.
70,Exception 70 – Coverage Not Provided: Demand cannot be covered by existing supply. Trigger procurement.
71,Exception 71 – Generic planning alert. Review material master and MRP settings.
72,Exception 72 – Generic planning alert. Review material master and MRP settings.
73,Exception 73 – Generic planning alert. Review material master and MRP settings.
74,Exception 74 – Generic planning alert. Review material master and MRP settings.
75,Exception 75 – Generic planning alert. Review material master and MRP settings.
76,Exception 76 – Generic planning alert. Review material master and MRP settings.
77,Exception 77 – Generic planning alert. Review material master and MRP settings.
78,Exception 78 – Generic planning alert. Review material master and MRP settings.
79,Exception 79 – Generic planning alert. Review material master and MRP settings.
80,Exception 80 – Generic planning alert. Review material master and MRP settings.
81,Exception 81 – Generic planning alert. Review material master and MRP settings.
82,Exception 82 – Generic planning alert. Review material master and MRP settings.
83,Exception 83 – Generic planning alert. Review material master and MRP settings.
84,Exception 84 – Generic planning alert. Review material master and MRP settings.
85,Exception 85 – Generic planning alert. Review material master and MRP settings.
86,Exception 86 – Generic planning alert. Review material master and MRP settings.
87,Exception 87 – Generic planning alert. Review material master and MRP settings.
88,Exception 88 – Generic planning alert. Review material master and MRP settings.
89,Exception 89 – Generic planning alert. Review material master and MRP settings.
90,Exception 90 – Generic planning alert. Review material master and MRP settings.
91,Exception 91 – Generic planning alert. Review material master and MRP settings.
92,Exception 92 – Generic planning alert. Review material master and MRP settings.
93,Exception 93 – Generic planning alert. Review material master and MRP settings.
94,Exception 94 – Generic planning alert. Review material master and MRP settings.
95,Exception 95 – Generic planning alert. Review material master and MRP settings.
96,Exception 96 – Subcontract Line Missing: Subcontracting scheduling line missing in the delivery schedule.
97,Exception 97 – Generic planning alert. Review material master and MRP settings.
98,Exception 98 – No BOM Selected: System could not determine a valid Bill of Materials for production.
99,Exception 99 – No Routing Selected: No valid routing exists. Check task list or production version.
100,Exception 100 – Generic planning alert. Review material master and MRP settings.
